,image,text
125,Bhabha-npl-dbox,How many different particle types are in this Feynman diagram?
126,kite,What is the content of this image?
127,kite,Does this image show a Feynman diagram?
128,kite,How many external legs are in this Feynman diagram?
129,kite,How many loops are in this Feynman diagram?
130,kite,How many internal edges are in this Feynman diagram?
131,kite,How many vertices are in this Feynman diagram?
132,kite,How many different particle types are in this Feynman diagram?
133,par2,What is the content of this image?
134,par2,Does this image show a Feynman diagram?
135,par2,How many external legs are in this Feynman diagram?
136,par2,How many loops are in this Feynman diagram?
137,par2,How many internal edges are in this Feynman diagram?
138,par2,How many vertices are in this Feynman diagram?
139,par2,How many different particle types are in this Feynman diagram?
140,Hj-npl-pentb,What is the content of this image?
141,Hj-npl-pentb,Does this image show a Feynman diagram?
142,Hj-npl-pentb,How many external legs are in this Feynman diagram?
143,Hj-npl-pentb,How many loops are in this Feynman diagram?
144,Hj-npl-pentb,How many internal edges are in this Feynman diagram?
145,Hj-npl-pentb,How many vertices are in this Feynman diagram?
146,Hj-npl-pentb,How many different particle types are in this Feynman diagram?
147,dpent,What is the content of this image?
148,dpent,Does this image show a Feynman diagram?
149,dpent,How many external legs are in this Feynman diagram?
150,dpent,How many loops are in this Feynman diagram?
151,dpent,How many internal edges are in this Feynman diagram?
152,dpent,How many vertices are in this Feynman diagram?
153,dpent,How many different particle types are in this Feynman diagram?
154,npl-dpent,What is the content of this image?
155,npl-dpent,Does this image show a Feynman diagram?
156,npl-dpent,How many external legs are in this Feynman diagram?
157,npl-dpent,How many loops are in this Feynman diagram?
158,npl-dpent,How many internal edges are in this Feynman diagram?
159,npl-dpent,How many vertices are in this Feynman diagram?
160,npl-dpent,How many different particle types are in this Feynman diagram?
161,npl-dpent2,What is the content of this image?
162,npl-dpent2,Does this image show a Feynman diagram?
163,npl-dpent2,How many external legs are in this Feynman diagram?
164,npl-dpent2,How many loops are in this Feynman diagram?
165,npl-dpent2,How many internal edges are in this Feynman diagram?
166,npl-dpent2,How many vertices are in this Feynman diagram?
167,npl-dpent2,How many different particle types are in this Feynman diagram?
