,image,text,output
25,diagram_103.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
26,diagram_103.png,How many external legs are there in the diagram?,There are three external legs in the diagram.
27,diagram_103.png,How many internal edges are there in the diagram?,There are three internal edges in the diagram.
28,diagram_103.png,How many interaction vertices are there in the diagram?,"In the diagram, there are three vertices and three lines connecting them."
29,diagram_103.png,How many different kinds of particles are there in the diagram?,There are two different kinds of particles in the diagram.
30,diagram_104.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
31,diagram_104.png,How many external legs are there in the diagram?,There are three external legs in the diagram.
32,diagram_104.png,How many internal edges are there in the diagram?,There are three internal edges in the diagram.
33,diagram_104.png,How many interaction vertices are there in the diagram?,"In the diagram, there are three interaction vertices."
34,diagram_104.png,How many different kinds of particles are there in the diagram?,There are two different kinds of particles in the diagram.
35,diagram_105.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
36,diagram_105.png,How many external legs are there in the diagram?,There are four external legs in the diagram.
37,diagram_105.png,How many internal edges are there in the diagram?,There are four internal edges in the diagram.
38,diagram_105.png,How many interaction vertices are there in the diagram?,"In the diagram, there are four vertices and four lines connecting them."
39,diagram_105.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
40,diagram_106.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
41,diagram_106.png,How many external legs are there in the diagram?,"In the diagram, there are three external legs."
42,diagram_106.png,How many internal edges are there in the diagram?,"In the diagram, there are a total of 12 internal edges."
43,diagram_106.png,How many interaction vertices are there in the diagram?,"In the diagram, there are four vertices and four interaction points."
44,diagram_106.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
45,diagram_107.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
46,diagram_107.png,How many external legs are there in the diagram?,There are three external legs in the diagram.
47,diagram_107.png,How many internal edges are there in the diagram?,There are three internal edges in the diagram.
48,diagram_107.png,How many interaction vertices are there in the diagram?,"In the diagram, there are three interaction vertices."
49,diagram_107.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
50,diagram_108.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
51,diagram_108.png,How many external legs are there in the diagram?,There are two external legs in the diagram.
52,diagram_108.png,How many internal edges are there in the diagram?,There are four internal edges in the diagram.
53,diagram_108.png,How many interaction vertices are there in the diagram?,"In the diagram, there are a total of 8 vertices and 8 lines connecting them."
54,diagram_108.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
55,diagram_109.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
56,diagram_109.png,How many external legs are there in the diagram?,There are 12 external legs in the diagram.
57,diagram_109.png,How many internal edges are there in the diagram?,There are 12 internal edges in the diagram.
58,diagram_109.png,How many interaction vertices are there in the diagram?,There are 12 interaction vertices in the diagram.
59,diagram_109.png,How many different kinds of particles are there in the diagram?,There are two different kinds of particles in the diagram.
60,diagram_11.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
61,diagram_11.png,How many external legs are there in the diagram?,There are three external legs in the diagram.
62,diagram_11.png,How many internal edges are there in the diagram?,There are three internal edges in the diagram.
63,diagram_11.png,How many interaction vertices are there in the diagram?,There are three interaction vertices in the diagram.
64,diagram_11.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
65,diagram_110.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
66,diagram_110.png,How many external legs are there in the diagram?,There are three external legs in the diagram.
67,diagram_110.png,How many internal edges are there in the diagram?,There are four internal edges in the diagram.
68,diagram_110.png,How many interaction vertices are there in the diagram?,There are four interaction vertices in the diagram.
69,diagram_110.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
70,diagram_111.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
71,diagram_111.png,How many external legs are there in the diagram?,There are no external legs in the diagram. The diagram is a mathematical equation with various symbols and arrows.
72,diagram_111.png,How many internal edges are there in the diagram?,There are three internal edges in the diagram.
73,diagram_111.png,How many interaction vertices are there in the diagram?,There are three interaction vertices in the diagram.
74,diagram_111.png,How many different kinds of particles are there in the diagram?,There are two different kinds of particles in the diagram: electrons and protons.
75,diagram_112.png,How many independent loops are there in the diagram?,There are two independent loops in the diagram.
76,diagram_112.png,How many external legs are there in the diagram?,There are two external legs in the diagram.
77,diagram_112.png,How many internal edges are there in the diagram?,There are two internal edges in the diagram.
78,diagram_112.png,How many interaction vertices are there in the diagram?,There are three interaction vertices in the diagram.
79,diagram_112.png,How many different kinds of particles are there in the diagram?,There are two different kinds of particles in the diagram: black and white.
80,diagram_113.png,How many independent loops are there in the diagram?,There are two independent loops in the diagram.
81,diagram_113.png,How many external legs are there in the diagram?,There are four external legs in the diagram.
82,diagram_113.png,How many internal edges are there in the diagram?,There are four internal edges in the diagram.
83,diagram_113.png,How many interaction vertices are there in the diagram?,There are 12 interaction vertices in the diagram.
84,diagram_113.png,How many different kinds of particles are there in the diagram?,There are two different kinds of particles in the diagram.
85,diagram_114.png,How many independent loops are there in the diagram?,There are two independent loops in the diagram.
86,diagram_114.png,How many external legs are there in the diagram?,There are two external legs in the diagram.
87,diagram_114.png,How many internal edges are there in the diagram?,There are two internal edges in the diagram.
88,diagram_114.png,How many interaction vertices are there in the diagram?,There are three interaction vertices in the diagram.
89,diagram_114.png,How many different kinds of particles are there in the diagram?,There are two different kinds of particles in the diagram: black and white.
90,diagram_115.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
91,diagram_115.png,How many external legs are there in the diagram?,There are three external legs in the diagram.
92,diagram_115.png,How many internal edges are there in the diagram?,There are three internal edges in the diagram.
93,diagram_115.png,How many interaction vertices are there in the diagram?,There are four interaction vertices in the diagram.
94,diagram_115.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
95,diagram_116.png,How many independent loops are there in the diagram?,There are two independent loops in the diagram.
96,diagram_116.png,How many external legs are there in the diagram?,There are three external legs in the diagram.
97,diagram_116.png,How many internal edges are there in the diagram?,There are three internal edges in the diagram.
98,diagram_116.png,How many interaction vertices are there in the diagram?,"In the diagram, there are three interaction vertices."
99,diagram_116.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
100,diagram_117.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
101,diagram_117.png,How many external legs are there in the diagram?,There are four external legs in the diagram.
102,diagram_117.png,How many internal edges are there in the diagram?,There are 12 internal edges in the diagram.
103,diagram_117.png,How many interaction vertices are there in the diagram?,There are 12 interaction vertices in the diagram.
104,diagram_117.png,How many different kinds of particles are there in the diagram?,There are two different kinds of particles in the diagram.
105,diagram_118.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
106,diagram_118.png,How many external legs are there in the diagram?,There are three external legs in the diagram.
107,diagram_118.png,How many internal edges are there in the diagram?,There are three internal edges in the diagram.
108,diagram_118.png,How many interaction vertices are there in the diagram?,"In the diagram, there are three vertices and three interaction lines."
109,diagram_118.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
110,diagram_119.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
111,diagram_119.png,How many external legs are there in the diagram?,"In the diagram, there are four external legs."
112,diagram_119.png,How many internal edges are there in the diagram?,There are four internal edges in the diagram.
113,diagram_119.png,How many interaction vertices are there in the diagram?,"In the diagram, there are four vertices and four interaction points."
114,diagram_119.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
115,diagram_12.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
116,diagram_12.png,How many external legs are there in the diagram?,There are three external legs in the diagram.
117,diagram_12.png,How many internal edges are there in the diagram?,There are three internal edges in the diagram.
118,diagram_12.png,How many interaction vertices are there in the diagram?,"In the diagram, there are three interaction vertices."
119,diagram_12.png,How many different kinds of particles are there in the diagram?,"In the diagram, there are two different kinds of particles: electrons and protons."
120,diagram_120.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
121,diagram_120.png,How many external legs are there in the diagram?,There are three external legs in the diagram.
122,diagram_120.png,How many internal edges are there in the diagram?,There are three internal edges in the diagram.
123,diagram_120.png,How many interaction vertices are there in the diagram?,There are three interaction vertices in the diagram.
124,diagram_120.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
125,diagram_121.png,How many independent loops are there in the diagram?,There are four independent loops in the diagram.
126,diagram_121.png,How many external legs are there in the diagram?,"In the diagram, there are four external legs."
127,diagram_121.png,How many internal edges are there in the diagram?,There are four internal edges in the diagram.
128,diagram_121.png,How many interaction vertices are there in the diagram?,"In the diagram, there are four vertices and four interaction points."
129,diagram_121.png,How many different kinds of particles are there in the diagram?,There are two different kinds of particles in the diagram.
130,diagram_122.png,How many independent loops are there in the diagram?,There are two independent loops in the diagram.
131,diagram_122.png,How many external legs are there in the diagram?,There are two external legs in the diagram.
132,diagram_122.png,How many internal edges are there in the diagram?,There are two internal edges in the diagram.
133,diagram_122.png,How many interaction vertices are there in the diagram?,There are three interaction vertices in the diagram.
134,diagram_122.png,How many different kinds of particles are there in the diagram?,There are two different kinds of particles in the diagram: black and white.
135,diagram_123.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
136,diagram_123.png,How many external legs are there in the diagram?,There are three external legs in the diagram.
137,diagram_123.png,How many internal edges are there in the diagram?,There are three internal edges in the diagram.
138,diagram_123.png,How many interaction vertices are there in the diagram?,"In the diagram, there are three interaction vertices and three interaction lines."
139,diagram_123.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
140,diagram_124.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
141,diagram_124.png,How many external legs are there in the diagram?,There are four external legs in the diagram.
142,diagram_124.png,How many internal edges are there in the diagram?,There are four internal edges in the diagram.
143,diagram_124.png,How many interaction vertices are there in the diagram?,There are 12 interaction vertices in the diagram.
144,diagram_124.png,How many different kinds of particles are there in the diagram?,There are two different kinds of particles in the diagram.
145,diagram_125.png,How many independent loops are there in the diagram?,There are two independent loops in the diagram.
146,diagram_125.png,How many external legs are there in the diagram?,There are two external legs in the diagram.
147,diagram_125.png,How many internal edges are there in the diagram?,There are three internal edges in the diagram.
148,diagram_125.png,How many interaction vertices are there in the diagram?,There are three interaction vertices in the diagram.
149,diagram_125.png,How many different kinds of particles are there in the diagram?,There are two different kinds of particles in the diagram: hydrogen (H2) and zinc (Zn).
150,diagram_126.png,How many independent loops are there in the diagram?,There are four independent loops in the diagram.
151,diagram_126.png,How many external legs are there in the diagram?,"In the diagram, there are four external legs."
152,diagram_126.png,How many internal edges are there in the diagram?,There are four internal edges in the diagram.
153,diagram_126.png,How many interaction vertices are there in the diagram?,"In the diagram, there are 12 vertices and 18 edges."
154,diagram_126.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
155,diagram_127.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
156,diagram_127.png,How many external legs are there in the diagram?,There are four external legs in the diagram.
157,diagram_127.png,How many internal edges are there in the diagram?,There are four internal edges in the diagram.
158,diagram_127.png,How many interaction vertices are there in the diagram?,"In the diagram, there are four interaction vertices."
159,diagram_127.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
160,diagram_128.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
161,diagram_128.png,How many external legs are there in the diagram?,There are three external legs in the diagram.
162,diagram_128.png,How many internal edges are there in the diagram?,"In the diagram, there are three internal edges."
163,diagram_128.png,How many interaction vertices are there in the diagram?,"In the diagram, there are three vertices and three lines connecting them."
164,diagram_128.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
165,diagram_129.png,How many independent loops are there in the diagram?,There are two independent loops in the diagram.
166,diagram_129.png,How many external legs are there in the diagram?,There are two external legs in the diagram.
167,diagram_129.png,How many internal edges are there in the diagram?,There are two internal edges in the diagram.
168,diagram_129.png,How many interaction vertices are there in the diagram?,There are three interaction vertices in the diagram.
169,diagram_129.png,How many different kinds of particles are there in the diagram?,There are two different kinds of particles in the diagram.
170,diagram_13.png,How many independent loops are there in the diagram?,There are two independent loops in the diagram.
171,diagram_13.png,How many external legs are there in the diagram?,There are three external legs in the diagram.
172,diagram_13.png,How many internal edges are there in the diagram?,There are three internal edges in the diagram.
173,diagram_13.png,How many interaction vertices are there in the diagram?,There are three interaction vertices in the diagram.
174,diagram_13.png,How many different kinds of particles are there in the diagram?,There are two different kinds of particles in the diagram.
175,diagram_130.png,How many independent loops are there in the diagram?,There are two independent loops in the diagram.
176,diagram_130.png,How many external legs are there in the diagram?,There are two external legs in the diagram.
177,diagram_130.png,How many internal edges are there in the diagram?,There are two internal edges in the diagram.
178,diagram_130.png,How many interaction vertices are there in the diagram?,There are two interaction vertices in the diagram.
179,diagram_130.png,How many different kinds of particles are there in the diagram?,There are two different kinds of particles in the diagram.
180,diagram_131.png,How many independent loops are there in the diagram?,There are two independent loops in the diagram.
181,diagram_131.png,How many external legs are there in the diagram?,There are two external legs in the diagram.
182,diagram_131.png,How many internal edges are there in the diagram?,There are 12 internal edges in the diagram.
183,diagram_131.png,How many interaction vertices are there in the diagram?,There are 12 interaction vertices in the diagram.
184,diagram_131.png,How many different kinds of particles are there in the diagram?,There are two different kinds of particles in the diagram.
185,diagram_132.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
186,diagram_132.png,How many external legs are there in the diagram?,There are three external legs in the diagram.
187,diagram_132.png,How many internal edges are there in the diagram?,There are three internal edges in the diagram.
188,diagram_132.png,How many interaction vertices are there in the diagram?,"The diagram shows a total of 12 vertices, which are the points where the lines intersect."
189,diagram_132.png,How many different kinds of particles are there in the diagram?,There are two different kinds of particles in the diagram.
190,diagram_133.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
191,diagram_133.png,How many external legs are there in the diagram?,There are four external legs in the diagram.
192,diagram_133.png,How many internal edges are there in the diagram?,There are 12 internal edges in the diagram.
193,diagram_133.png,How many interaction vertices are there in the diagram?,There are 12 interaction vertices in the diagram.
194,diagram_133.png,How many different kinds of particles are there in the diagram?,There are two different kinds of particles in the diagram.
195,diagram_134.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
196,diagram_134.png,How many external legs are there in the diagram?,"In the diagram, there are four external legs."
197,diagram_134.png,How many internal edges are there in the diagram?,"In the diagram, there are a total of 12 internal edges."
198,diagram_134.png,How many interaction vertices are there in the diagram?,"In the diagram, there are three vertices and three interaction points."
199,diagram_134.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
200,diagram_135.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
201,diagram_135.png,How many external legs are there in the diagram?,There are three external legs in the diagram.
202,diagram_135.png,How many internal edges are there in the diagram?,There are three internal edges in the diagram.
203,diagram_135.png,How many interaction vertices are there in the diagram?,The diagram shows a total of 12 interaction vertices.
204,diagram_135.png,How many different kinds of particles are there in the diagram?,There are two different kinds of particles in the diagram.
205,diagram_136.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
206,diagram_136.png,How many external legs are there in the diagram?,"In the diagram, there are four external legs."
207,diagram_136.png,How many internal edges are there in the diagram?,There are four internal edges in the diagram.
208,diagram_136.png,How many interaction vertices are there in the diagram?,There are four interaction vertices in the diagram.
209,diagram_136.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
210,diagram_137.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
211,diagram_137.png,How many external legs are there in the diagram?,"In the diagram, there are three external legs."
212,diagram_137.png,How many internal edges are there in the diagram?,There are four internal edges in the diagram.
213,diagram_137.png,How many interaction vertices are there in the diagram?,"In the diagram, there are a total of 12 vertices, including the two circles."
214,diagram_137.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
215,diagram_138.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
216,diagram_138.png,How many external legs are there in the diagram?,"In the diagram, there are four external legs."
217,diagram_138.png,How many internal edges are there in the diagram?,"In the diagram, there are a total of 12 internal edges."
218,diagram_138.png,How many interaction vertices are there in the diagram?,"In the diagram, there are three vertices and three interaction points."
219,diagram_138.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
220,diagram_139.png,How many independent loops are there in the diagram?,There are four independent loops in the diagram.
221,diagram_139.png,How many external legs are there in the diagram?,There are four external legs in the diagram.
222,diagram_139.png,How many internal edges are there in the diagram?,There are four internal edges in the diagram.
223,diagram_139.png,How many interaction vertices are there in the diagram?,"In the diagram, there are five interaction vertices."
224,diagram_139.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
225,diagram_14.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
226,diagram_14.png,How many external legs are there in the diagram?,There are three external legs in the diagram.
227,diagram_14.png,How many internal edges are there in the diagram?,There are 12 internal edges in the diagram.
228,diagram_14.png,How many interaction vertices are there in the diagram?,The diagram shows a network of 10 vertices and 15 edges.
229,diagram_14.png,How many different kinds of particles are there in the diagram?,"In the diagram, there are two different kinds of particles: electrons and protons."
230,diagram_140.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
231,diagram_140.png,How many external legs are there in the diagram?,There are four external legs in the diagram.
232,diagram_140.png,How many internal edges are there in the diagram?,There are four internal edges in the diagram.
233,diagram_140.png,How many interaction vertices are there in the diagram?,"In the diagram, there are four vertices and four interaction lines connecting them."
234,diagram_140.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
235,diagram_141.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
236,diagram_141.png,How many external legs are there in the diagram?,"In the diagram, there are four external legs."
237,diagram_141.png,How many internal edges are there in the diagram?,There are four internal edges in the diagram.
238,diagram_141.png,How many interaction vertices are there in the diagram?,"In the diagram, there are a total of 12 vertices, which are the points where the lines intersect."
239,diagram_141.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
240,diagram_142.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
241,diagram_142.png,How many external legs are there in the diagram?,There are three external legs in the diagram.
242,diagram_142.png,How many internal edges are there in the diagram?,There are four internal edges in the diagram.
243,diagram_142.png,How many interaction vertices are there in the diagram?,"In the diagram, there are three vertices and three interaction lines."
244,diagram_142.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
245,diagram_143.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
246,diagram_143.png,How many external legs are there in the diagram?,"In the diagram, there are three external legs."
247,diagram_143.png,How many internal edges are there in the diagram?,There are four internal edges in the diagram.
248,diagram_143.png,How many interaction vertices are there in the diagram?,"In the diagram, there are four vertices and four lines connecting them."
249,diagram_143.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
250,diagram_144.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
251,diagram_144.png,How many external legs are there in the diagram?,There are three external legs in the diagram.
252,diagram_144.png,How many internal edges are there in the diagram?,There are three internal edges in the diagram.
253,diagram_144.png,How many interaction vertices are there in the diagram?,"In the diagram, there are four vertices and four lines connecting them."
254,diagram_144.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
255,diagram_145.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
256,diagram_145.png,How many external legs are there in the diagram?,There are three external legs in the diagram.
257,diagram_145.png,How many internal edges are there in the diagram?,"In the diagram, there are three internal edges and one external edge."
258,diagram_145.png,How many interaction vertices are there in the diagram?,"In the diagram, there are four vertices and four interaction points."
259,diagram_145.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
260,diagram_146.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
261,diagram_146.png,How many external legs are there in the diagram?,There are three external legs in the diagram.
262,diagram_146.png,How many internal edges are there in the diagram?,There are 12 internal edges in the diagram.
263,diagram_146.png,How many interaction vertices are there in the diagram?,There are 12 interaction vertices in the diagram.
264,diagram_146.png,How many different kinds of particles are there in the diagram?,There are two different kinds of particles in the diagram.
265,diagram_147.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
266,diagram_147.png,How many external legs are there in the diagram?,There are three external legs in the diagram.
267,diagram_147.png,How many internal edges are there in the diagram?,There are three internal edges in the diagram.
268,diagram_147.png,How many interaction vertices are there in the diagram?,There are three interaction vertices in the diagram.
269,diagram_147.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
270,diagram_148.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
271,diagram_148.png,How many external legs are there in the diagram?,"In the diagram, there are three external legs."
272,diagram_148.png,How many internal edges are there in the diagram?,"In the diagram, there are a total of 12 internal edges."
273,diagram_148.png,How many interaction vertices are there in the diagram?,"In the diagram, there are a total of 11 vertices and 15 edges."
274,diagram_148.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
275,diagram_149.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
276,diagram_149.png,How many external legs are there in the diagram?,There are three external legs in the diagram.
277,diagram_149.png,How many internal edges are there in the diagram?,There are three internal edges in the diagram.
278,diagram_149.png,How many interaction vertices are there in the diagram?,"In the diagram, there are three interaction vertices."
279,diagram_149.png,How many different kinds of particles are there in the diagram?,"In the diagram, there are two different kinds of particles: electrons and photons."
280,diagram_15.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
281,diagram_15.png,How many external legs are there in the diagram?,There are two external legs in the diagram.
282,diagram_15.png,How many internal edges are there in the diagram?,There are four internal edges in the diagram.
283,diagram_15.png,How many interaction vertices are there in the diagram?,There are three interaction vertices in the diagram.
284,diagram_15.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
285,diagram_150.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
286,diagram_150.png,How many external legs are there in the diagram?,There are three external legs in the diagram.
287,diagram_150.png,How many internal edges are there in the diagram?,There are four internal edges in the diagram.
288,diagram_150.png,How many interaction vertices are there in the diagram?,"In the diagram, there are 10 vertices and 15 edges."
289,diagram_150.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
290,diagram_151.png,How many independent loops are there in the diagram?,There are two independent loops in the diagram.
291,diagram_151.png,How many external legs are there in the diagram?,There are two external legs in the diagram.
292,diagram_151.png,How many internal edges are there in the diagram?,There are three internal edges in the diagram.
293,diagram_151.png,How many interaction vertices are there in the diagram?,There are three interaction vertices in the diagram.
294,diagram_151.png,How many different kinds of particles are there in the diagram?,There are two different kinds of particles in the diagram.
295,diagram_152.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
296,diagram_152.png,How many external legs are there in the diagram?,There are three external legs in the diagram.
297,diagram_152.png,How many internal edges are there in the diagram?,There are three internal edges in the diagram.
298,diagram_152.png,How many interaction vertices are there in the diagram?,There are four interaction vertices in the diagram.
299,diagram_152.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
300,diagram_153.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
301,diagram_153.png,How many external legs are there in the diagram?,There are three external legs in the diagram.
302,diagram_153.png,How many internal edges are there in the diagram?,There are four internal edges in the diagram.
303,diagram_153.png,How many interaction vertices are there in the diagram?,There are three interaction vertices in the diagram.
304,diagram_153.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
305,diagram_154.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
306,diagram_154.png,How many external legs are there in the diagram?,"In the diagram, there are three external legs."
307,diagram_154.png,How many internal edges are there in the diagram?,"In the diagram, there are a total of 12 internal edges."
308,diagram_154.png,How many interaction vertices are there in the diagram?,"In the diagram, there are three vertices and three interaction points."
309,diagram_154.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
310,diagram_155.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
311,diagram_155.png,How many external legs are there in the diagram?,"In the diagram, there are four external legs."
312,diagram_155.png,How many internal edges are there in the diagram?,There are 12 internal edges in the diagram.
313,diagram_155.png,How many interaction vertices are there in the diagram?,The diagram shows a total of 12 vertices and 14 edges.
314,diagram_155.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
315,diagram_156.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
316,diagram_156.png,How many external legs are there in the diagram?,There are four external legs in the diagram.
317,diagram_156.png,How many internal edges are there in the diagram?,There are four internal edges in the diagram.
318,diagram_156.png,How many interaction vertices are there in the diagram?,There are four interaction vertices in the diagram.
319,diagram_156.png,How many different kinds of particles are there in the diagram?,"In the diagram, there are two different kinds of particles: electrons and protons."
320,diagram_157.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
321,diagram_157.png,How many external legs are there in the diagram?,"In the diagram, there are three external legs."
322,diagram_157.png,How many internal edges are there in the diagram?,There are four internal edges in the diagram.
323,diagram_157.png,How many interaction vertices are there in the diagram?,"In the diagram, there are a total of 12 vertices and 15 edges."
324,diagram_157.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
325,diagram_158.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
326,diagram_158.png,How many external legs are there in the diagram?,There are three external legs in the diagram.
327,diagram_158.png,How many internal edges are there in the diagram?,There are three internal edges in the diagram.
328,diagram_158.png,How many interaction vertices are there in the diagram?,"In the diagram, there are a total of 12 vertices, including the vertices of the triangles and the vertices of the lines connecting them."
329,diagram_158.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
330,diagram_159.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
331,diagram_159.png,How many external legs are there in the diagram?,"In the diagram, there are four external legs."
